popular_vote_percentage,NAP,payroll,stock,rdi,election,national_polls,gdp,state_election,Democrat_Republican,NAP_weighted_diff,stock_weighted_diff,rdi_weighted_diff,national_polls_weighted_diff,gdp_weighted_diff
49.55,0.8256410256410259,0.23424186016597945,-9.718823300492335,-1.4235033259423515,0.031316771363793086,1.0835278846148308,-0.08928138752575465,0.0,1,9.32,0.08540000000000003,5.6,892.5,12542.043
49.55,0.8256410256410259,0.23424186016597945,-9.718823300492335,-1.4235033259423515,0.031316771363793086,1.0835278846148308,-0.08928138752575465,0.0,1,8.68,0.6698999999999999,28.200000000000006,993.0,18721.174
49.55,0.1601190476190473,0.08877221835958536,-9.402052288118089,4.957342657342658,-0.034111392672304036,0.2728679571665734,0.11844812656255575,-1.0,0,9.32,0.08540000000000003,5.6,892.5,12542.043
49.55,0.1601190476190473,0.08877221835958536,-9.402052288118089,4.957342657342658,-0.034111392672304036,0.2728679571665734,0.11844812656255575,-1.0,0,8.68,0.6698999999999999,28.200000000000006,993.0,18721.174
45.06999999999999,0.8256410256410259,0.23424186016597945,-9.718823300492335,-1.4235033259423515,0.031316771363793086,0.37778909867904603,-0.08928138752575465,0.0,0,9.32,0.08540000000000003,5.6,1038.5,12542.043
55.18,-0.3101262865850155,0.2611469702398236,-1.2432065334612594,9.327365728900254,0.11511722123018568,-0.3399762187796699,0.24311295149342715,-1.0,0,4.71,1.2493,43.4,1086.835,14409.903
44.33,-0.3101262865850155,0.2611469702398236,-1.2432065334612594,9.327365728900254,0.11511722123018568,0.14510661423517746,0.24311295149342715,-1.0,1,4.71,1.2493,43.4,837.915,14409.903
57.37,0.27799606329018106,0.16030219039743995,-16.387650753771073,6.012348969438524,0.055844549908768686,0.3961796490959399,0.15882218631963202,1.0,0,11.0,1.5554,46.90000000000001,1157.0,16877.643
41.97,0.27799606329018106,0.16030219039743995,-16.387650753771073,6.012348969438524,0.055844549908768686,0.13484012467752304,0.15882218631963202,1.0,1,11.0,1.5554,46.90000000000001,840.0,16877.643
49.72,0.1601190476190473,0.08877221835958536,-9.402052288118089,4.957342657342658,-0.034111392672304036,0.2931954975116069,0.11844812656255575,-1.0,1,8.68,0.6698999999999999,28.200000000000006,1025.5,18721.174
61.05,-0.057951928337850275,0.152195403531263,-7.1518253226916375,2.556283566058002,0.051399852846428236,-0.09812470245751648,0.14623536004409213,1.0,1,10.13,1.0637,53.1,1350.5,21927.91
38.47,-0.057951928337850275,0.152195403531263,-7.1518253226916375,2.556283566058002,0.051399852846428236,1.7004353733400772,0.14623536004409213,1.0,0,10.13,1.0637,53.1,646.0,21927.91
42.72,0.0671072171072173,0.21474943680834466,-8.503114303438268,-0.41660211365019656,0.04400661885136722,0.6356221507522071,0.09846726726916633,0.0,1,5.8900000000000015,0.35679999999999995,48.0,742.1475709784945,27141.086000000007
43.42,0.0671072171072173,0.21474943680834466,-8.503114303438268,-0.41660211365019656,0.04400661885136722,0.32786565494556263,0.09846726726916633,0.0,0,5.8900000000000015,0.35679999999999995,48.0,984.9502231397853,27141.086000000007
37.52,0.16671345488689404,0.16224116860165566,3.376711824639965,0.4833759590792839,0.09181925363366096,0.17565827712194065,0.0856770751708937,1.0,1,9.1,0.7110000000000001,45.6,674.321517420891,30269.056
60.67,0.16671345488689404,0.16224116860165566,3.376711824639965,0.4833759590792839,0.09181925363366096,0.08186919542002617,0.0856770751708937,1.0,0,9.1,0.7110000000000001,45.6,1225.9108699170504,30269.056
48.02,0.32373467112597565,0.07980555736505249,-5.718760878870622,-6.882873900293255,0.040056752779305406,0.6812634868471361,0.03162557800369353,1.0,0,7.65,1.1467999999999998,24.3,875.0941681946238,34240.928
50.08,0.32373467112597565,0.07980555736505249,-5.718760878870622,-6.882873900293255,0.040056752779305406,-0.3692482768407432,0.03162557800369353,1.0,1,7.65,1.1467999999999998,24.3,1024.8262407892473,34240.928
41.01,0.5229484975808505,0.11475735470488545,2.211817230463379,-2.6440423976608187,0.032966013916475335,1.1855099717491644,0.09227228656175143,1.0,1,5.3,0.4872,20.7,774.979179095699,40217.771
