,popular_vote_percentage,NAP,payroll,stock,rdi,election,national_polls,gdp,state_election,Democrat_Republican
0,49.55,0.8256410256410259,0.23424186016597945,-9.718823300492335,-1.4235033259423515,0.03131677136379309,1.083527884614831,-0.08928138752575465,0.0,1
1,45.06999999999999,0.8256410256410259,0.23424186016597945,-9.718823300492335,-1.4235033259423515,0.03131677136379309,0.377789098679046,-0.08928138752575465,0.0,0
2,55.18,-0.3101262865850155,0.2611469702398236,-1.2432065334612594,9.327365728900254,0.11511722123018567,-0.3399762187796699,0.24311295149342715,-1.0,0
3,44.33,-0.3101262865850155,0.2611469702398236,-1.2432065334612594,9.327365728900254,0.11511722123018567,0.14510661423517746,0.24311295149342715,-1.0,1
4,57.37,0.27799606329018106,0.16030219039743995,-16.387650753771076,6.0123489694385235,0.05584454990876869,0.3961796490959399,0.15882218631963202,1.0,0
5,41.97,0.27799606329018106,0.16030219039743995,-16.387650753771076,6.0123489694385235,0.05584454990876869,0.13484012467752304,0.15882218631963202,1.0,1
6,49.72,0.1601190476190473,0.08877221835958536,-9.402052288118089,4.957342657342658,-0.034111392672304036,0.29319549751160695,0.11844812656255574,-1.0,1
7,49.55,0.1601190476190473,0.08877221835958536,-9.402052288118089,4.957342657342658,-0.034111392672304036,0.2728679571665734,0.11844812656255574,-1.0,0
8,61.05,-0.057951928337850275,0.152195403531263,-7.1518253226916375,2.556283566058002,0.05139985284642824,-0.09812470245751648,0.14623536004409213,1.0,1
9,38.47,-0.057951928337850275,0.152195403531263,-7.1518253226916375,2.556283566058002,0.05139985284642824,1.7004353733400772,0.14623536004409213,1.0,0
10,42.72,0.0671072171072173,0.21474943680834463,-8.503114303438267,-0.41660211365019656,0.044006618851367224,0.6356221507522071,0.09846726726916633,0.0,1
11,43.42,0.0671072171072173,0.21474943680834463,-8.503114303438267,-0.41660211365019656,0.044006618851367224,0.32786565494556263,0.09846726726916633,0.0,0
12,37.52,0.16671345488689404,0.16224116860165566,3.3767118246399646,0.48337595907928393,0.09181925363366095,0.17565827712194065,0.0856770751708937,1.0,1
13,60.67,0.16671345488689404,0.16224116860165566,3.3767118246399646,0.48337595907928393,0.09181925363366095,0.08186919542002617,0.0856770751708937,1.0,0
14,48.02,0.32373467112597565,0.07980555736505249,-5.718760878870622,-6.882873900293255,0.040056752779305406,0.6812634868471361,0.03162557800369353,1.0,0
15,50.08,0.32373467112597565,0.07980555736505249,-5.718760878870622,-6.882873900293255,0.040056752779305406,-0.36924827684074324,0.03162557800369353,1.0,1
16,41.01,0.5229484975808505,0.11475735470488543,2.211817230463379,-2.6440423976608187,0.03296601391647534,1.1855099717491644,0.09227228656175143,1.0,1
17,50.75,0.5229484975808505,0.11475735470488543,2.211817230463379,-2.6440423976608187,0.03296601391647534,0.33594972208424234,0.09227228656175143,1.0,0
18,58.77,0.011919212862609108,0.1749183852054427,-6.608670325950673,4.012770562770563,0.06118507512314819,0.21252327955272327,0.14356808930205234,1.0,0
19,40.56,0.011919212862609108,0.1749183852054427,-6.608670325950673,4.012770562770563,0.06118507512314819,-0.13325752435185345,0.14356808930205234,1.0,1
20,53.37,0.11343137254901973,0.17848799006058969,10.746606930550856,2.8336523125996806,0.06483212305899796,0.793594694798355,0.11866746793752408,-1.0,0
21,45.65,0.11343137254901973,0.17848799006058969,10.746606930550856,2.8336523125996806,0.06483212305899796,-0.5473390708148081,0.11866746793752408,-1.0,1
22,43.01,0.29490509490509487,0.014978224588763875,-14.909384921726604,13.389655172413795,0.06190391269866276,0.32734145199523407,0.029357168318517188,1.0,1
23,37.45,0.29490509490509487,0.014978224588763875,-14.909384921726604,13.389655172413795,0.06190391269866276,0.1885066842517992,0.029357168318517188,1.0,0
24,49.23,0.24770344959024143,0.15062340299870075,27.750394345384468,0.9417706476530008,0.06576976145067381,0.1284348595326935,0.08515105720196474,1.0,1
25,40.72,0.24770344959024143,0.15062340299870075,27.750394345384468,0.9417706476530008,0.06576976145067381,0.13050069454769497,0.08515105720196474,1.0,0
26,48.38,-0.11029455201322258,0.12614117298447267,-2.889891319707688,1.2586932078457505,0.03966944009649319,0.2009482427397677,0.14492409364535536,-1.0,1
27,47.87,-0.11029455201322258,0.12614117298447267,-2.889891319707688,1.2586932078457505,0.03966944009649319,0.18217612098463762,0.14492409364535536,-1.0,0
28,50.73,0.10967556253270551,0.04328553507337212,-6.287693584506961,0.5777777777777774,0.05657754794592834,0.12377438688222371,0.10747267553929331,1.0,0
29,48.27,0.10967556253270551,0.04328553507337212,-6.287693584506961,0.5777777777777774,0.05657754794592834,0.05997225662884749,0.10747267553929331,1.0,1
30,52.93,-0.4383991472005929,-0.0162253445058306,-47.703968104055406,-1.0456521739130438,-0.07057757814089197,0.4140089827043477,0.06537659505266027,-1.0,1
31,45.66,-0.4383991472005929,-0.0162253445058306,-47.703968104055406,-1.0456521739130438,-0.07057757814089197,0.06648906021299841,0.06537659505266027,-1.0,0
32,51.06,-0.03539963626523708,0.08562983281280408,-0.4723057667942594,-9.395652173913042,0.010417176675547576,0.08179473679733354,0.05788146321226575,1.0,1
33,47.2,-0.03539963626523708,0.08562983281280408,-0.4723057667942594,-9.395652173913042,0.010417176675547576,0.16117683993050838,0.05788146321226575,1.0,0
34,46.09,0.25009234463015995,0.11566374483180414,-24.363123180670147,-5.676494237469846,0.03288605485063238,0.26392863846876763,0.07205422550289615,-1.0,0
35,48.18000000000001,0.25009234463015995,0.11566374483180414,-24.363123180670147,-5.676494237469846,0.03288605485063238,0.2293797818628263,0.07205422550289615,-1.0,1
