,candidate_name,cycle,modeldate,pct_median_adjusted,state
107,Bill Clinton,1996.0,11.0,49.765024800000006,National
108,Bob Dole,1996.0,6.0,35.9570056,National
109,Bob Dole,1996.0,7.0,33.60363641935484,National
110,Bob Dole,1996.0,8.0,36.09894961290322,National
111,Bob Dole,1996.0,9.0,36.09537726666667,National
112,Bob Dole,1996.0,10.0,35.86550383870967,National
113,Bob Dole,1996.0,11.0,36.390622400000005,National
114,H. Ross Perot,1996.0,6.0,11.87465923333333,National
115,H. Ross Perot,1996.0,7.0,12.36084112903226,National
116,H. Ross Perot,1996.0,8.0,8.342057035483872,National
117,H. Ross Perot,1996.0,9.0,5.72272166,National
118,H. Ross Perot,1996.0,10.0,6.076104306451612,National
119,H. Ross Perot,1996.0,11.0,7.738060679999999,National
120,Al Gore,2000.0,6.0,39.5939411,National
121,Al Gore,2000.0,7.0,38.70500496774194,National
122,Al Gore,2000.0,8.0,42.06425896774195,National
123,Al Gore,2000.0,9.0,44.87577433333333,National
124,Al Gore,2000.0,10.0,43.063169225806455,National
125,Al Gore,2000.0,11.0,43.15677028571429,National
126,George W. Bush,2000.0,6.0,46.50575390000001,National
127,George W. Bush,2000.0,7.0,45.937973193548395,National
128,George W. Bush,2000.0,8.0,45.486363161290335,National
129,George W. Bush,2000.0,9.0,42.683229766666656,National
130,George W. Bush,2000.0,10.0,45.379906161290336,National
131,George W. Bush,2000.0,11.0,46.706894142857145,National
132,Ralph Nader,2000.0,6.0,4.142582316666666,National
133,Ralph Nader,2000.0,7.0,5.1737761354838705,National
134,Ralph Nader,2000.0,8.0,3.8772558935483867,National
135,Ralph Nader,2000.0,9.0,3.20398077,National
136,Ralph Nader,2000.0,10.0,3.878806435483871,National
137,Ralph Nader,2000.0,11.0,3.858325014285714,National
138,George W. Bush,2004.0,6.0,46.63246779999998,National
139,George W. Bush,2004.0,7.0,46.3951804516129,National
140,George W. Bush,2004.0,8.0,46.462688580645164,National
141,George W. Bush,2004.0,9.0,50.06972193333334,National
142,George W. Bush,2004.0,10.0,48.29044329032257,National
143,George W. Bush,2004.0,11.0,48.6303895,National
144,John Kerry,2004.0,6.0,47.30664453333333,National
145,John Kerry,2004.0,7.0,47.73755096774194,National
146,John Kerry,2004.0,8.0,47.9981620967742,National
147,John Kerry,2004.0,9.0,43.997470400000005,National
148,John Kerry,2004.0,10.0,46.047145032258065,National
149,John Kerry,2004.0,11.0,47.00173,National
150,Barack Obama,2008.0,6.0,46.34155243333334,National
151,Barack Obama,2008.0,7.0,46.33496625806452,National
152,Barack Obama,2008.0,8.0,45.69324793548387,National
153,Barack Obama,2008.0,9.0,46.50913703333333,National
154,Barack Obama,2008.0,10.0,49.59820167741936,National
155,Barack Obama,2008.0,11.0,50.81443925000001,National
156,John McCain,2008.0,6.0,43.16560966666667,National
157,John McCain,2008.0,7.0,41.88561258064516,National
158,John McCain,2008.0,8.0,43.569206709677424,National
159,John McCain,2008.0,9.0,45.874139499999984,National
160,John McCain,2008.0,10.0,42.76158119354837,National
161,John McCain,2008.0,11.0,43.860071250000004,National
162,Barack Obama,2012.0,6.0,46.38235213333332,National
163,Barack Obama,2012.0,7.0,46.61846987096775,National
164,Barack Obama,2012.0,8.0,46.85345848387098,National
165,Barack Obama,2012.0,9.0,48.19689533333334,National
166,Barack Obama,2012.0,10.0,47.51533177419355,National
167,Barack Obama,2012.0,11.0,47.86854316666666,National
168,Mitt Romney,2012.0,6.0,45.95211506666667,National
169,Mitt Romney,2012.0,7.0,45.86257270967741,National
170,Mitt Romney,2012.0,8.0,46.43948629032257,National
171,Mitt Romney,2012.0,9.0,45.46129896666666,National
172,Mitt Romney,2012.0,10.0,47.56623783870967,National
173,Mitt Romney,2012.0,11.0,47.717984333333334,National
174,Donald Trump,2016.0,6.0,39.005344,National
175,Donald Trump,2016.0,7.0,40.36528612903226,National
176,Donald Trump,2016.0,8.0,38.16679645161291,National
177,Donald Trump,2016.0,9.0,40.529889000000004,National
178,Donald Trump,2016.0,10.0,39.88320806451614,National
179,Donald Trump,2016.0,11.0,41.6067275,National
180,Gary Johnson,2016.0,6.0,7.427172266666667,National
181,Gary Johnson,2016.0,7.0,7.513308161290322,National
182,Gary Johnson,2016.0,8.0,8.06316958064516,National
183,Gary Johnson,2016.0,9.0,8.013410633333333,National
184,Gary Johnson,2016.0,10.0,6.421937354838709,National
185,Gary Johnson,2016.0,11.0,4.987823000000001,National
186,Hillary Rodham Clinton,2016.0,6.0,43.69961066666666,National
187,Hillary Rodham Clinton,2016.0,7.0,42.63638967741935,National
188,Hillary Rodham Clinton,2016.0,8.0,44.313983870967746,National
189,Hillary Rodham Clinton,2016.0,9.0,42.85209966666666,National
190,Hillary Rodham Clinton,2016.0,10.0,45.65835806451613,National
191,Hillary Rodham Clinton,2016.0,11.0,45.76827,National
204,Donald Trump,2020.0,6.0,41.98578433333334,National
205,Donald Trump,2020.0,7.0,41.508880000000005,National
206,Donald Trump,2020.0,8.0,42.33777290322582,National
207,Donald Trump,2020.0,9.0,43.18275400000001,National
208,Donald Trump,2020.0,10.0,42.39973419354839,National
209,Donald Trump,2020.0,11.0,43.442033333333335,National
210,Joseph R. Biden Jr.,2020.0,6.0,50.17056766666668,National
211,Joseph R. Biden Jr.,2020.0,7.0,50.412137096774174,National
212,Joseph R. Biden Jr.,2020.0,8.0,50.66435032258064,National
213,Joseph R. Biden Jr.,2020.0,9.0,50.375818333333335,National
214,Joseph R. Biden Jr.,2020.0,10.0,51.89594451612904,National
215,Joseph R. Biden Jr.,2020.0,11.0,51.876196666666665,National
