month_10,month_11,month_9,republican,Year,Rep_House_Prop,State,Result,rep_loyalty,popular_vote_percentage,density,RDI,GDP
41.11714397,40.75618786,41.21350417,0,2000,0.16666666666666666,Kentucky,0,0.3,48.38,100.19601098710748,57569.37,112471.0
47.38641452,52.99779057,47.16751253,1,2000,0.8333333333333334,Kentucky,1,0.3,47.87,100.19601098710748,57569.37,112471.0
55.5205649,57.3252695,55.2680336,1,2004,0.8333333333333334,Kentucky,1,0.5,50.73,102.59832718814184,61442.93000000001,115102.53
38.84201923,38.4150375,38.76008893,0,2004,0.16666666666666666,Kentucky,0,0.5,48.27,102.59832718814184,61442.93000000001,115102.53
40.32776803,41.0393985,37.0613778,0,2008,0.16666666666666666,Kentucky,0,0.7,52.93,106.15619509539482,64851.45,118406.3
52.82566168,53.6581385,55.00761363,1,2008,0.8333333333333334,Kentucky,1,0.7,45.66,106.15619509539482,64851.45,118406.3
38.07681158,38.21174767,38.92004217,0,2012,0.33333333333333337,Kentucky,0,0.9,51.06,108.47207443517854,68275.56,122411.49000000002
55.91457797,56.59965417,54.30842594,1,2012,0.6666666666666666,Kentucky,1,0.9,47.2,108.47207443517854,68275.56,122411.49000000002
47.38029581,54.07895125,48.965776,1,2016,0.8333333333333334,Kentucky,1,1.0,46.09,109.79619410556532,71684.62,128005.31999999999
31.39695032,33.15414875,30.35076367,0,2016,0.16666666666666666,Kentucky,0,1.0,48.18000000000001,109.79619410556532,71684.62,128005.31999999999
56.62537806,55.56570333,56.47347133,1,2020,0.8333333333333334,Kentucky,1,1.0,46.525,111.34814778154465,75499.0,134996.86000000002
38.86914355,39.76927,39.02336367,0,2020,0.16666666666666666,Kentucky,0,1.0,52.46,111.34814778154465,75499.0,134996.86000000002
